Name,1FGL,z,f_z,F5980,alpha,L5100,LHb,WHb,MHb,L3000,LMgII,WMgII,MMgII,Tel,_RA,_DE
J0654+4514,J0654.3+4514,0.928, ,4.9,-1.52,      ,      ,     ,     ,45.003,43.046,3400,8.17,HET ,103.59879,45.23986
J0656-0323,J0656.2-0321,0.634, ,447,-0.18,46.44,44.321,3300,8.82,46.67,44.425,2500,8.77,HET ,104.04634,-3.38522
J0713+1935,J0714.0+1935,0.54, ,17.6,-0.93,45.007,42.311,1800,7.33,45.006,42.939,2800,7.91,HET ,108.482,19.58344
J0721+0406,J0721.4+0401,0.665, ,172.2,0.31,45.966,43.675,3200,8.49,46.301,44.375,3900,9.12,HET ,110.34963,4.11228
J0723+2859,J0723.6+2908,0.966, ,49.3,-0.37,      ,      ,     ,     ,46.071,43.537,3100,8.4,HET ,110.9785,28.99163
J0830+2410,J0830.5+2407,0.942, ,61.8,-0.7,      ,      ,     ,     ,46.149,43.759,3800,8.7,SDSS,127.71704,24.18328
J0833+4224,J0834.4+4221,0.249, ,50.1,-1.47,      ,      ,     ,     ,      ,      ,    ,     ,SDSS,128.47454,42.40053
J0840+1312,J0840.8+1310,0.68, ,12.3,-0.51,45.025,43.256,3600,8.37,45.119,43.634,3800,8.62,SDSS,130.19828,13.20655
J0847-2337,J0846.9-2334,0.059, ,77,-1.48,43.503,40.942,12000,8.3,      ,      ,    ,     ,NTT ,131.7565,-23.61711
J0912+2755,J0912.6+2756,0.158, ,15.3,-2.45,      ,      ,     ,     ,      ,      ,    ,     ,SDSS,138.08663,27.92975
J0923+2815,J0924.2+2812,0.744, ,15.6,-0.55,45.227,42.897,5700,8.61,45.309,43.745,5600,9.04,HET ,140.96467,28.25694
J0926+1451,J0926.9+1452,0.632, ,1.8,-2.49,      ,      ,     ,     ,43.703,41.536,3000,7.11,WMKO,141.54794,14.85628
J0937+5008,J0937.7+5005,0.276, ,25.5,-1.51,44.5,41.585,3400,7.5,      ,      ,    ,     ,SDSS,144.30138,50.1478
J0948+0022,J0949.0+0021,0.585, ,19.4,-0.39,45.068,42.599,1800,7.46,45.183,42.842,2400,7.73,SDSS,147.23883,0.37378
J0949+1752,J0949.8+1757,0.693,:,37,-0.42,      ,      ,     ,     ,45.649,43.043,3200,8.1,HET ,147.41567,17.88039
J0950+1804,J0949.8+1757,0.154, ,134.4,-2.11,      ,      ,     ,     ,      ,      ,    ,     ,HET ,147.50129,18.07186
J0956+2515,J0956.9+2513,0.708, ,182.4,-1.21,46.346,43.459,2900,8.3,46.285,43.792,3400,8.63,SDSS,149.20779,25.25444
J0957+5522,J0957.7+5523,0.899, ,29.1,-1.1,      ,      ,     ,     ,45.773,43.378,3700,8.45,SDSS,149.40908,55.38269
J1001+2911,J1000.9+2915,0.558,:,6.1,-1.71,44.671,41.377,3000,7.31,44.485,42.132,3600,7.64,WMKO,150.29254,29.19375
J1022+3931,J1023.6+3937,0.604, ,44.7,-0.78,      ,      ,     ,     ,45.542,43.678,5400,8.95,SDSS,155.65591,39.5307
J1043+2408,J1043.1+2404,0.559,:,17.4,-2,      ,      ,     ,     ,44.934,42.443,4900,8.09,SDSS,160.78762,24.14317
J1058+0133,J1058.4+0134,0.888,:,205,-1.37,      ,      ,     ,     ,46.588,43.302,3600,8.37,SDSS,164.62333,1.56633
J1106+2812,J1106.5+2809,0.843, ,373.4,-1.28,      ,      ,     ,     ,46.804,43.947,3900,8.85,HET ,166.53025,28.21305
J1108+0202,J1108.3+0210,0.157, ,23.7,-2.27,      ,      ,     ,     ,      ,      ,    ,     ,SDSS,167.18954,2.04469
J1120+0713,J1120.4+0710,0.288, ,13.2,-0.24,44.169,42.281,4300,8.05,      ,      ,    ,     ,SDSS,170.17696,7.21985
J1136+2550,J1136.9+2551,0.156, ,34.8,-2.09,      ,      ,     ,     ,      ,      ,    ,     ,SDSS,174.20879,25.84788
