XBS,z,logWHb,E_logWHb,e_logWHb,logWMg,E_logWMg,e_logWMg,logL51,E_logL51,e_logL51,logL30,E_logL30,e_logL30,logMHb,E_logMHb,e_logMHb,logMMg,E_logMMg,e_logMMg,logMb,E_logMb,e_logMb,logM,logdM/dt,E_logdM/dt,e_logdM/dt,logLed,E_logLed,e_logLed,logLedc,_RA,_DE
J161615.1+121353,0.843,     ,0,0,3.9,0.091,0.104,44.35,0.08,0.16,44.48,0.08,0.16,     ,     ,     ,8.84,0.19,0.22,8.84,0.19,0.22,8.92,-0.49,0.03,0.05,-1.69,0.19,0.23,-1.77,244.06292,12.23139
J161825.4+124145,0.396,3.53,0.125,0.127,     ,0,0,44.22,0.15,0.09,44.42,0.15,0.1,8.08,0.25,0.24,     ,     ,     ,8.08,0.25,0.24,8.28,-0.78,0.12,0.08,-1.22,0.28,0.25,-1.42,244.60658,12.69633
J165406.6+142123,0.641,     ,0,0,3.68,0.03,0.032,45.4,0.15,0.16,45.29,0.15,0.15,     ,     ,     ,8.9,0.09,0.1,8.9,0.09,0.1,9.1,0.04,0.13,0.13,-1.22,0.16,0.16,-1.42,253.5275,14.35667
J165425.3+142159,0.178,3.39,0.141,0.228,     ,0,0,43.83,0.12,0.09,43.97,0.11,0.1,7.61,0.26,0.36,     ,     ,     ,7.61,0.26,0.36,7.9,-1.02,0.04,0.04,-0.99,0.26,0.36,-1.29,253.60554,14.36642
J165448.5+141311,0.32,     ,0,0,4.01,0.014,0.014,43.77,0.08,0.1,43.97,0.08,0.1,     ,     ,     ,8.75,0.05,0.06,8.75,0.05,0.06,8.81,-0.68,0.02,0.02,-1.79,0.05,0.06,-1.85,253.7025,14.22
J185518.7-462504,0.788,     ,0,0,3.66,0.021,0.023,45.83,0.17,0.23,45.96,0.18,0.22,     ,     ,     ,9.28,0.1,0.12,9.28,0.1,0.12,9.57,0.63,0.16,0.18,-1.01,0.19,0.22,-1.3,283.82792,-46.41778
J185613.7-462239,0.768,     ,0,0,3.63,0.074,0.091,44.87,0.15,0.16,45.07,0.14,0.16,     ,     ,     ,8.67,0.16,0.19,8.67,0.16,0.19,8.96,0.02,0.09,0.08,-1.01,0.18,0.21,-1.3,284.05755,-46.37699
J204159.2-321439,0.738,3.47,0.105,0.142,3.6,0.018,0.019,44.79,0.15,0.15,44.99,0.15,0.16,8.25,0.21,0.26,8.55,0.09,0.08,8.55,0.09,0.08,8.83,-0.11,0.1,0.1,-1.02,0.13,0.13,-1.3,310.49667,-32.24417
J204204.1-321601,0.384,3.87,0.073,0.088,3.85,0.047,0.052,43.82,0.17,0.16,44.08,0.18,0.16,8.56,0.16,0.19,8.48,0.13,0.13,8.48,0.13,0.13,8.57,-0.77,0.16,0.13,-1.61,0.21,0.18,-1.7,310.5175,-32.26722
J204208.2-323523,1.184,     ,0,0,3.75,0.021,0.028,44.88,0.17,0.3,45.12,0.18,0.3,     ,     ,     ,8.93,0.09,0.16,8.93,0.09,0.16,9.15,0.13,0.14,0.21,-1.16,0.17,0.26,-1.38,310.53375,-32.58972
J205635.7-044717,0.217,3.39,0.03,0.03,     ,0,0,43.84,0.15,0.15,44.07,0.15,0.15,7.6,0.1,0.09,     ,     ,     ,7.6,0.1,0.09,7.9,-1.01,0.11,0.11,-0.97,0.15,0.14,-1.28,314.14875,-4.78806
J205829.9-423634,0.232,3.62,0.045,0.046,     ,0,0,43.44,0.18,0.22,43.64,0.17,0.22,7.88,0.12,0.15,     ,     ,     ,7.88,0.12,0.15,8.02,-1.15,0.06,0.06,-1.39,0.13,0.16,-1.53,314.62462,-42.60956
J210325.4-112011,0.72,     ,0,0,4,0.011,0.011,45.48,0.56,0.44,45.7,0.56,0.44,     ,     ,     ,9.79,0.28,0.22,9.79,0.28,0.22,9.88,0.53,0.54,0.4,-1.62,0.61,0.46,-1.71,315.85583,-11.33639
J210355.3-121858,0.792,     ,0,0,3.94,0.021,0.022,44.97,0.15,0.22,45.1,0.15,0.22,     ,     ,     ,9.3,0.09,0.12,9.3,0.09,0.12,9.36,-0.14,0.11,0.15,-1.8,0.14,0.19,-1.86,315.98,-12.31611
J213002.3-153414,0.562,3.36,0.067,0.089,3.36,0.011,0.011,45.61,0.15,0.16,45.74,0.15,0.15,8.44,0.14,0.17,8.53,0.08,0.07,8.53,0.08,0.07,9.13,0.39,0.14,0.13,-0.5,0.16,0.15,-1.1,322.50968,-15.57037
J213729.7-423601,0.664,3.56,0.059,0.033,3.68,0.014,0.014,44.77,0.18,0.15,44.9,0.18,0.15,8.41,0.14,0.1,8.66,0.09,0.08,8.41,0.14,0.1,8.66,-0.32,0.13,0.1,-1.09,0.19,0.14,-1.34,324.37417,-42.60056
J213733.2-434800,0.427,3.56,0.084,0.089,3.6,0.047,0.053,44.23,0.2,0.22,44.42,0.21,0.22,8.15,0.19,0.2,8.21,0.14,0.15,8.15,0.19,0.2,8.33,-0.76,0.16,0.17,-1.27,0.25,0.26,-1.45,324.38958,-43.8
J214041.4-234720,0.49,4.36,0.083,0.07,3.93,0.015,0.016,44.9,0.12,0.09,45.13,0.11,0.1,10.08,0.18,0.14,9.31,0.06,0.06,9.31,0.06,0.06,9.39,0.01,0.1,0.08,-1.66,0.12,0.1,-1.74,325.17279,-23.78869
J220446.8-014535,0.54,3.73,0.148,0.162,3.99,0.074,0.089,44.12,0.2,0.3,44.38,0.21,0.3,8.42,0.31,0.34,8.96,0.18,0.23,8.42,0.31,0.34,8.64,-0.38,0.16,0.2,-1.16,0.35,0.39,-1.38,331.19542,-1.75972
J221623.3-174317,0.754,     ,0,0,3.39,0.069,0.083,44.7,0.16,0.26,44.9,0.16,0.27,     ,     ,     ,8.08,0.16,0.2,8.08,0.16,0.2,8.55,-0.24,0.12,0.16,-0.68,0.2,0.26,-1.16,334.09792,-17.72083
J223547.9-255836,0.304,3.61,0.034,0.034,3.39,0.124,0.138,43.92,0.15,0.15,44.15,0.15,0.15,8.09,0.09,0.1,7.61,0.23,0.25,8.09,0.09,0.1,8.23,-0.95,0.12,0.11,-1.4,0.15,0.15,-1.54,338.95042,-25.97639
J223555.0-255833,1.8,     ,0,0,3.71,0.028,0.03,46.23,0.21,0.22,46.43,0.2,0.22,     ,     ,     ,9.66,0.11,0.13,9.66,0.11,0.13,10.03,1.17,0.19,0.2,-0.85,0.22,0.24,-1.22,338.97958,-25.97583
J223949.8+080926,1.406,     ,0,0,3.73,0.037,0.041,46.01,0.23,0.4,46.2,0.23,0.39,     ,     ,     ,9.57,0.14,0.21,9.57,0.14,0.21,9.87,0.95,0.21,0.35,-0.98,0.25,0.41,-1.28,339.95917,8.15778
J224756.6-642721,0.598,3.68,0.035,0.031,3.67,0.004,0.004,45,0.11,0.16,45.23,0.11,0.16,8.78,0.09,0.1,8.84,0.06,0.08,8.78,0.09,0.1,9.03,0.06,0.11,0.14,-1.08,0.14,0.17,-1.33,341.98583,-64.455
J225025.1-643225,1.206,     ,0,0,3.76,0.066,0.078,45.28,0.18,0.15,45.48,0.18,0.16,     ,     ,     ,9.17,0.16,0.17,9.17,0.16,0.17,9.36,0.28,0.15,0.11,-1.25,0.22,0.2,-1.44,342.60583,-64.54056
J225050.2-642900,1.251,     ,0,0,3.88,0.036,0.02,45.82,0.15,0.16,45.95,0.15,0.15,     ,     ,     ,9.71,0.11,0.08,9.71,0.11,0.08,9.85,0.69,0.11,0.1,-1.38,0.16,0.13,-1.53,342.71042,-64.48389
J225118.0-175951,0.172,3.4,0.028,0.03,     ,0,0,44.29,0.54,0.34,44.55,0.54,0.34,7.86,0.27,0.18,     ,     ,     ,7.86,0.27,0.18,8.43,-0.33,0.53,0.34,-0.55,0.59,0.38,-1.12,342.82517,-17.99689
J230400.4-083755,0.411,3.95,0.053,0.048,3.74,0.013,0.014,44.5,0.18,0.15,44.75,0.17,0.16,9.05,0.14,0.12,8.68,0.08,0.09,9.05,0.14,0.12,9.12,-0.33,0.16,0.15,-1.74,0.21,0.19,-1.81,346.0025,-8.63139
J230443.8+121636,1.405,     ,0,0,3.89,0.049,0.056,45.71,0.32,0.44,45.9,0.32,0.44,     ,     ,     ,9.7,0.18,0.25,9.7,0.18,0.25,9.85,0.7,0.28,0.3,-1.36,0.33,0.39,-1.51,346.1825,12.27667
J230459.6+121205,0.56,3.21,0.063,0.077,     ,0,0,44.16,0.19,0.27,44.29,0.19,0.27,7.41,0.14,0.18,     ,     ,     ,7.41,0.14,0.18,8.16,-0.54,0.06,0.06,-0.31,0.15,0.19,-1.06,346.24833,12.20139
J231342.5-423210,0.973,     ,0,0,3.74,0.046,0.052,45.24,0.12,0.1,45.44,0.11,0.1,     ,     ,     ,9.12,0.11,0.11,9.12,0.11,0.11,9.33,0.3,0.08,0.06,-1.18,0.14,0.13,-1.39,348.42708,-42.53556
J231601.7-424038,0.383,3.66,0.033,0.057,     ,0,0,44.05,0.11,0.16,44.32,0.11,0.16,8.25,0.09,0.14,     ,     ,     ,8.25,0.09,0.14,8.48,-0.52,0.1,0.13,-1.13,0.13,0.19,-1.36,349.00667,-42.67694
